Name,UOM,MRP,Selling Price,Quantity,Total MRP,Total SP,Image Url,Category
maggi chikan noodles 71gm,Piece,20,20,-1,-20,-20,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Navratna khakhra,Piece,75,60,5,375,300,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Personal Care & Health
maggi Masala a magic 72gm,Piece,60,58,6,360,348,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Maggi 140gm,Piece,30,29,23,690,667,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Pringles tangy tomato twist 102gm,Piece,110,108,11,1210,1188,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
Shree krishn Farsan,Piece,160,80,38,6080,3040,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Shree Krishna farsan,Piece,160,80,18,2880,1440,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Chitale farsan,Piece,76,73,1,76,73,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Laxminarayan Farali chiwda 200gm,Piece,60,55,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Laxmi Narayan best Chiwda,Piece,90,80,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
chitale bakarwadi 500gm,Piece,190,180,1,190,180,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Household & Cleaning
Chitale Bakarwadi 250gm,Piece,95,90,3,285,270,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Household & Cleaning
maggi pazzta masala penno,Piece,64,62,1,64,62,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi pazzta cheese macaroni,Piece,64,62,1,64,62,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr thick tomato soup 51gm,Piece,65,60,11,715,660,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Knorr Mexican tomato corn,Piece,75,70,3,225,210,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Knorr International Italian Mushroom Soup 46 g,Pc,70,70,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/266568_12-knorr-international-italian-mushroom-soup.jpg,Snacks & Packaged Foods
Knorr italian mushroom soup,Piece,70,65,7,490,455,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr mixed vegetables soup 40gm,Piece,65,60,9,585,540,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Kissan sweet & Spicy,Piece,75,70,-2,-150,-140,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Kissan fresh tomato 850gm,Piece,93,90,3,279,270,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Kissan Ketchup Tomato 85gm,Pc,15,15,-10,-150,-150,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Kissan_Ketchup_Tomato_1681890496250.png,Snacks & Packaged Foods
Kissan fresh tomato 95gm,Piece,15,15,18,270,270,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
suhana pravin tomato ketchup 75gm,Piece,14,14,13,182,182,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Disano Apple Cider Vinegar With Mother Vinegar 500 ml Bottle,Pc,495,495,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40159677_1-disano-apple-cider-vinegar-with-mother-vinegar.jpg,Snacks & Packaged Foods
disano cider vinegar 500ml,Piece,495,399,4,1980,1596,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
apis mixed fruit jam 450gm,Piece,199,180,2,398,360,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
mapro mix fruit jam 1kg,Piece,297,189,8,2376,1512,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
kissan mixed fruit 700gm,Piece,270,249,1,270,249,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
mapro mix fruit jam 260gm,Piece,90,85,2,180,170,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
funfoods pizza topping,Piece,99,95,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
kissan mango jam 188gm,Piece,95,90,13,1235,1170,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
MTR UPMA,Piece,30,25,1,30,25,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
MTR POHA,Piece,30,25,3,90,75,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Chings Hakka Noodles 20gm,Piece,10,10,38,380,380,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
chings Manchow 12gm,Piece,10,10,25,250,250,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
suhana chilli Garlic,Piece,28,27,13,364,351,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Spices & Masalas
suhana red chilli sauce 90gm,Piece,23,23,6,138,138,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Suhana soya sauce 90gm,Piece,23,23,2,46,46,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
suhana green chilli sauce,Piece,23,23,-1,-23,-23,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Maggi Atta Noodles Rs 30,Pc,30,30,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi veg atta 72.5 gm,Piece,28,28,24,672,672,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi rs 7,Piece,7,7,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi 75gm,Piece,15,15,-1,-15,-15,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Mauli Farsan B1G1,Piece,140,70,13,1820,910,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
radhika farsan b1g1,Piece,120,60,32,3840,1920,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
yippee rs 15,Piece,15,15,2,30,30,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
yippee noodles 145.2gm,Piece,30,29,10,300,290,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Nissan korean kimchi 400gm,Piece,270,149,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Puja Needs & General
yippee noodles 290gm,Piece,100,95,15,1500,1425,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr soupy noodles 200gm,Piece,80,75,4,320,300,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
cookwell pizza topping,Piece,42,40,8,336,320,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
cookwell pasta pizza sauce,Piece,42,40,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr chicken delite soup,Piece,65,60,7,455,420,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr tomato chatpata,Piece,10,10,15,150,150,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr mixed vegetable soup,Piece,10,10,14,140,140,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr sweet corn veg,Piece,10,10,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr manchow veg,Piece,10,10,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
knorr Schezwan spicy chutney,Piece,10,10,1,10,10,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
chings paneer chilli masala mix,Piece,10,10,3,30,30,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
chings Schezwan chutney,Piece,10,10,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
chings red chilli sauce 200gm,Piece,56,50,1,56,50,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Chings Dark Soy Sauce,Piece,60,55,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
hillers dark soya sauce 200gm,Piece,60,30,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
testo vinegar 200ml,Piece,40,30,3,120,90,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
hillers green chilli sauce,Piece,60,30,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
chings green chilli sauce,Piece,60,55,13,780,715,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Nissan cup noodles,Piece,52,50,11,572,550,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
cup noodles roganjosh,Piece,52,50,5,260,250,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
cup noodles spiced chicken,Piece,52,50,7,364,350,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
cup noodles italiano,Piece,52,50,3,156,150,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
sunfeast yippee quik mealz,Piece,50,48,6,300,288,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi masala cuppa,Piece,52,50,1,52,50,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
wicked gud mas.noodles,Piece,60,55,1,60,55,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi 600gm,Piece,116,113,22,2552,2486,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi 300gm,Piece,58,56,18,1044,1008,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi veg atta 290gm,Piece,108,105,7,756,735,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
maggi chikan noodles 304gm,Piece,80,78,11,880,858,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
yippee 290.4gm,Piece,60,58,32,1920,1856,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Laxmi Narayan spl.misal farsan,Piece,120,115,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Shree Krishna farsan,Piece,160,80,-1,-160,-80,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Snacks & Packaged Foods
Real fruit power 1L,Piece,122,115,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
pepsi zero sugar,Piece,40,37,2,80,74,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
Frooti 150ml,Piece,10,10,1,10,10,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
frooti 300ml,Piece,18,18,11,198,198,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
Hell,Piece,60,58,12,720,696,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
red bull,Piece,125,110,18,2250,1980,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
thums up 250ml,Piece,20,20,7,140,140,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
coca cola 20rs,Piece,20,20,9,180,180,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
jeera soda masala,Piece,20,20,18,360,360,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
sting,Piece,20,20,25,500,500,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
appy fizz rs10,Piece,10,10,5,50,50,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
paper boat coconut water,Piece,50,45,2,100,90,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
smoodh,Piece,10,10,16,160,160,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
Diet Coke,Piece,40,37,3,120,111,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
thums up,Piece,40,37,3,120,111,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
Sprite 250ml,Piece,20,20,25,500,500,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
appy fizz rs10,Piece,10,10,8,80,80,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png,Beverages
