Name,UOM,MRP,Selling Price,Quantity,Total MRP,Total SP,Image Url
knorr soupy noodles 200gm,Piece,80,75,4,320,300,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cookwell pizza topping,Piece,42,40,8,336,320,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cookwell pasta pizza sauce,Piece,42,40,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
knorr chicken delite soup,Piece,65,60,7,455,420,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
knorr tomato chatpata,Piece,10,10,15,150,150,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
knorr mixed vegetable soup,Piece,10,10,14,140,140,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
knorr sweet corn veg,Piece,10,10,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
knorr manchow veg,Piece,10,10,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
knorr Schezwan spicy chutney,Piece,10,10,1,10,10,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
chings paneer chilli masala mix,Piece,10,10,3,30,30,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
chings Schezwan chutney,Piece,10,10,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
chings red chilli sauce 200gm,Piece,56,50,1,56,50,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Chings Dark Soy Sauce,Piece,60,55,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
hillers dark soya sauce 200gm,Piece,60,30,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
testo vinegar 200ml,Piece,40,30,3,120,90,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
hillers green chilli sauce,Piece,60,30,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
chings green chilli sauce,Piece,60,55,13,780,715,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Nissan cup noodles,Piece,52,50,11,572,550,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cup noodles roganjosh,Piece,52,50,5,260,250,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cup noodles spiced chicken,Piece,52,50,7,364,350,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cup noodles italiano,Piece,52,50,3,156,150,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
sunfeast yippee quik mealz,Piece,50,48,6,300,288,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
maggi masala cuppa,Piece,52,50,1,52,50,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
wicked gud mas.noodles,Piece,60,55,1,60,55,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
maggi 600gm,Piece,116,113,22,2552,2486,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
maggi 300gm,Piece,58,56,18,1044,1008,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
maggi veg atta 290gm,Piece,108,105,7,756,735,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
maggi chikan noodles 304gm,Piece,80,78,11,880,858,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
yippee 290.4gm,Piece,60,58,32,1920,1856,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Laxmi Narayan spl.misal farsan,Piece,120,115,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Shree Krishna farsan,Piece,160,80,-1,-160,-80,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Real fruit power 1L,Piece,122,115,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
pepsi zero sugar,Piece,40,37,2,80,74,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Frooti 150ml,Piece,10,10,1,10,10,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
frooti 300ml,Piece,18,18,11,198,198,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Hell,Piece,60,58,12,720,696,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
red bull,Piece,125,110,18,2250,1980,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
thums up 250ml,Piece,20,20,7,140,140,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
coca cola 20rs,Piece,20,20,9,180,180,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
jeera soda masala,Piece,20,20,18,360,360,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
sting,Piece,20,20,25,500,500,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
appy fizz rs10,Piece,10,10,5,50,50,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
paper boat coconut water,Piece,50,45,2,100,90,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
smoodh,Piece,10,10,16,160,160,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Diet Coke,Piece,40,37,3,120,111,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
thums up,Piece,40,37,3,120,111,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Sprite 250ml,Piece,20,20,25,500,500,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
appy fizz rs10,Piece,10,10,8,80,80,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
smoodh chocolate,Piece,10,10,7,70,70,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
